,title,vote_average,release_date,runtime,genres
2220,Small Soldiers,6.524,1998-07-10,110,"Comedy, Adventure, Fantasy, Science Fiction, Action"
137946,Rooted in Peace,5.8,2016-09-22,97,Documentary
176037,Una Mirada al Mar,3.8,2011-07-08,95,"Family, Drama"
1020593,Williams: Violin Concerto No. 2 & Selected Film Themes,0.0,2022-02-12,99,Music
3281,Secret in Their Eyes,6.386,2015-10-14,111,"Thriller, Mystery, Drama, Crime"
150015,The Perfect Pickup,4.7,2018-04-18,98,Comedy
126934,Hadwin's Judgement,7.0,2015-04-27,88,Documentary
9665,The Manual of Love 2,5.329,2007-01-19,125,"Romance, Comedy, Drama"
44480,Chan Is Missing,6.771,1982-04-24,76,"Drama, Mystery, Comedy, Crime"
259428,This is a Robbery,5.0,2015-12-31,88,Comedy
799622,Stockholmsveckan,0.0,2015-01-01,101,"Action, Comedy"
259436,Quest for Steel,5.0,2021-01-15,130,Fantasy
430013,TV's Funniest Animated Stars: A Paley Center for Media Special,0.0,2015-12-07,86,"Documentary, Animation"
124319,The Olsen Gang and Dynamite-Harry Towards New Heights,6.8,1979-09-07,99,"Comedy, Crime"
359112,Modern Dowry Hunters,0.0,2022-12-10,101,Comedy
927235,The Checkered Flag,0.0,1963-05-29,88,"Action, Drama"
419025,Safe Haven,0.0,2020-03-04,80,Documentary
759203,Seine stärkste Waffe,0.0,1928-10-24,80,"Drama, Action, Adventure"
307286,"A Skin, A Night",3.0,2008-05-26,63,"Documentary, Music"
47014,Alive,5.5,2004-10-18,85,"Drama, Comedy"
79319,Poverty,6.278,2009-01-13,90,"Drama, Family, Comedy"
98780,The Clown,5.417,1953-01-16,91,Drama
449193,Aattinakkare,0.0,1989-01-01,116,Drama
70483,Zombies: The Beginning,3.545,2007-05-01,91,"Action, Horror"
344521,Shalini Ente Koottukari,8.0,1980-03-21,130,"Drama, Romance"
91646,The Tyrant Father,6.5,2022-07-14,103,Comedy
900768,Mis dos amores,0.0,1938-10-03,75,"Romance, Drama"
35283,Superheroes,6.647,2011-08-08,81,Documentary
39925,Horny House of Horror,4.857,2010-12-03,75,"Horror, Comedy"
77029,Mi niño Tizoc,5.7,1972-07-13,95,Drama
41877,Delivery: The Beast Within,5.615,2013-06-18,87,"Thriller, Horror"
308285,Harry Hill - Birdstrike!,1.5,2000-11-20,61,Comedy
1024465,Kampong Pisang Berbuah Dua Kali,0.0,2022-03-03,105,"Comedy, Family, Horror"
43427,Born in 68,5.8,2008-05-21,173,Drama
824179,Heavenly Tamper,0.0,2018-04-15,88,Documentary
863164,Young Rebels,0.0,2005-03-03,70,Documentary
80155,The Winner,4.6,1996-09-13,92,"Thriller, Comedy, Crime"
71081,Lon Chaney: A Thousand Faces,6.455,2000-10-24,85,"Documentary, TV Movie"
907362,One Sin A Month,0.0,1949-05-18,77,Comedy
76605,The Pink Soldier,5.5,2006-12-23,85,Music
74011,Algorithm: BLISS,4.5,2020-06-02,99,"Science Fiction, Thriller"
