,Title,Rating,Release Date,Runtime,Genres
0,Role Models,6.5,11/7/2008,99,Comedy
1,The Outlaw and His Wife,7.2,1/1/1918,111,Drama
2,Lowriders,6.7,4/28/2017,99,"Drama, Action, Crime"
3,Out of the Blue,6.4,10/12/2006,103,"Drama, Crime"
4,Hold Me Tight,6.5,9/8/2021,95,Drama
5,Mad Love,5.1,5/26/1995,95,"Drama, Romance"
6,Batman: The Killing Joke,6.6,7/24/2016,77,"Action, Animation, Crime, Drama"
7,Le crocodile du Botswanga,5.2,2/19/2014,90,Comedy
8,"South Park: Bigger, Longer & Uncut",7.3,6/30/1999,81,"Animation, Comedy"
9,M*A*S*H,7.0,2/18/1970,116,"Comedy, Drama, War"
10,La Cage aux Folles,6.9,10/25/1978,92,Comedy
11,Late Spring,8.0,9/13/1949,110,Drama
12,Destry Rides Again,7.1,11/30/1939,94,"Action, Comedy, Western"
13,Antonia's Line,7.0,9/21/1995,102,"Drama, Comedy"
14,A Night of Horror: Nightmare Radio,5.5,2/6/2020,100,Horror
15,Tolo Tolo,6.1,1/1/2020,94,"Comedy, Drama, Family"
16,Singularity,3.7,11/24/2017,92,Science Fiction
17,Sexy Evil Genius,6.0,4/9/2013,85,"Comedy, Drama, Mystery"
18,Star Trek: Nemesis,6.3,12/13/2002,116,"Science Fiction, Action, Adventure, Thriller"
19,Beyond the Clouds,6.2,6/6/1995,110,"Drama, Romance"
20,What If,6.7,9/7/2013,93,"Drama, Comedy, Romance"
21,Bad Words,6.4,9/6/2013,89,Comedy
22,Carlito's Way: Rise to Power,4.7,9/27/2005,100,"Action, Adventure, Drama, Thriller"
23,The Last Trapper,6.7,12/12/2004,94,"Adventure, Drama, Documentary"
24,Onegin,6.1,12/22/1999,104,"Drama, Romance"
25,The Crew,6.2,5/4/2016,78,"Drama, Crime, Thriller"
26,The Girl from Monaco,5.1,8/20/2008,95,"Comedy, Drama"
27,LOL,6.1,2/10/2012,97,"Drama, Comedy, Romance"
28,The Wild Thornberrys Movie,6.4,12/20/2002,85,"Animation, Adventure, Family"
29,Amazing Grace,6.9,9/16/2006,117,Drama
30,Home Again,6.1,9/7/2017,97,"Comedy, Drama, Romance"
31,Lucky,6.3,5/20/2017,103,Drama
32,Gringo,5.9,3/8/2018,111,"Comedy, Action, Crime"
33,Laser Mission,4.1,11/1/1989,84,"Thriller, Action, Adventure"
34,Lizzie Borden Took an Ax,5.8,1/25/2014,91,"Drama, Mystery, Thriller"
35,The Last Train,7.5,10/26/2006,123,"Drama, War"
36,The Special Relationship,6.6,5/29/2010,93,"TV Movie, Drama, History"
37,A Snow Capped Christmas,6.2,11/26/2016,87,"TV Movie, Romance, Drama"
38,Unwelcome,5.9,1/27/2023,104,Horror
39,Dampyr,6.4,10/28/2022,109,"Horror, Fantasy, Action"
40,Bliss,5.8,9/27/2019,80,Horror
41,Slice,4.5,9/10/2018,82,"Comedy, Horror"
42,Ben-Hur: A Tale of the Christ,7.3,12/25/1925,143,"Adventure, Drama, Romance"
43,The Privilege,5.1,2/9/2022,107,Horror
44,The White Buffalo,5.9,5/1/1977,97,"Western, Adventure, Action"
45,Under the Hawthorn Tree,7.7,9/15/2010,113,"Drama, Romance"
46,Space Mutiny,2.7,8/1/1988,93,"Romance, Adventure, Science Fiction"
47,No Reservations,6.5,6/15/2007,104,"Comedy, Romance, Drama"
48,A Wolf at the Door,7.4,10/3/2013,98,"Drama, Thriller, Crime"
49,La Maison en Petits Cubes,7.9,6/10/2008,12,Animation
50,"Things I Like, Things I Don't Like",7.1,1/1/1989,8,Comedy
51,Shelter,6.0,9/12/2014,105,Drama
52,Natale a Rio,5.1,12/19/2008,110,Comedy
53,Full of It,5.2,3/1/2007,91,"Comedy, Family, Drama"
54,Claire's Camera,6.0,3/7/2018,69,Drama
55,The Devil's Arithmetic,6.9,3/28/1999,95,"TV Movie, Drama, Thriller, Fantasy"
56,A Swedish Love Story,7.1,4/24/1970,115,"Drama, Romance"
57,Queen of Katwe,7.2,9/23/2016,124,Drama
58,Everybody Loves Goofy,7.1,11/3/2003,52,"Animation, Family, Comedy"
59,Onibaba,7.7,11/21/1964,105,"Horror, Drama"
60,A Whole Life Ahead,6.6,3/28/2008,117,"Comedy, Drama"
61,Mortadelo and Filemon: Mission Implausible,6.6,8/30/2014,91,"Comedy, Animation, Adventure"
62,Casino Royale,7.5,11/14/2006,144,"Adventure, Action, Thriller"
63,"Are You There God? It's Me, Margaret.",7.3,3/29/2023,107,"Comedy, Drama"
64,Laura,7.7,10/11/1944,88,"Drama, Mystery"
65,The Big Steal,6.5,7/1/1949,71,"Romance, Drama, Thriller, Crime"
66,Orlando,6.9,12/11/1992,90,"Drama, Fantasy"
67,Blown Away,6.2,7/1/1994,121,Action
68,Heist,6.1,11/13/2015,93,"Action, Crime, Thriller"
69,Diary of a Chambermaid,5.1,4/1/2015,96,Drama
70,Breakup Buddies,6.1,9/26/2014,116,"Comedy, Romance"
71,November Criminals,5.3,11/7/2017,86,"Crime, Drama, Mystery, Thriller"
72,Let It Snow,5.3,8/26/2020,86,"Horror, Thriller"
73,Swordfish,6.2,6/8/2001,99,"Action, Crime, Thriller"
74,The Boss Baby: Christmas Bonus,6.8,12/6/2022,47,"Animation, Family, Adventure"
75,Salaam Bombay!,7.3,8/24/1988,113,"Crime, Drama"
76,Friday the 13th Part VI: Jason Lives,6.2,8/1/1986,86,"Horror, Mystery, Thriller"
